FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210080822--31825-0-13416-2210081055,268.59,0,10/8/2022 8:22:00 AM,10/8/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210081255--31722-0-13416-2210081526,362.62,0,10/8/2022 12:55:00 PM,10/8/2022 3:26:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210080850--31722-0-13416-2210081119,362.62,0,10/8/2022 8:50:00 AM,10/8/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210082013--31722-0-13416-2210082244,362.62,0,10/8/2022 8:13:00 PM,10/8/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210092159--31825-0-13416-2210100039,228.59,0,10/9/2022 9:59:00 PM,10/10/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210092013--31722-0-13416-2210092244,362.6,0,10/9/2022 8:13:00 PM,10/9/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210090822--31825-0-13416-2210091055,168.59,0,10/9/2022 8:22:00 AM,10/9/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210090545--31825-1-13416-2210090945,241.58,1,10/9/2022 5:45:00 AM,10/9/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210090850--31722-0-13416-2210091119,362.6,0,10/9/2022 8:50:00 AM,10/9/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210091254--31722-0-13416-2210091525,362.6,0,10/9/2022 12:54:00 PM,10/9/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210090710--31722-0-13416-2210090940,362.6,0,10/9/2022 7:10:00 AM,10/9/2022 9:40:00 AM,270,,United,Chicago O'Hare International,Los Angeles International
15062-2210091930--31825-0-13416-2210092207,228.59,0,10/9/2022 7:30:00 PM,10/9/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210091035--31722-0-13416-2210091300,362.6,0,10/9/2022 10:35:00 AM,10/9/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210091540--31722-0-13416-2210091800,362.6,0,10/9/2022 3:40:00 PM,10/9/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210101930--31825-0-13416-2210102207,206.1,0,10/10/2022 7:30:00 PM,10/10/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210102145--31825-1-13416-2210110708,96.75,1,10/10/2022 9:45:00 PM,10/11/2022 7:08:00 AM,683,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
