FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2211050907--31722-2-13416-2211051713,436.14,2,11/5/2022 9:07:00 AM,11/5/2022 5:13:00 PM,606,,United,Chicago O'Hare International,Los Angeles International
15062-2211051250--32695,-31694-1-13416-2211051713,108.4,1,11/5/2022 12:50:00 PM,11/5/2022 5:13:00 PM,383,,Air Canada,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211050730--32385-1-13416-2211051530,248.6,1,11/5/2022 7:30:00 AM,11/5/2022 3:30:00 PM,600,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211051545--32090,-32646-1-13416-2211060009,245.81,1,11/5/2022 3:45:00 PM,11/6/2022 12:09:00 AM,624,,Lufthansa,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211051044--31722-0-13416-2211051314,194.64,0,11/5/2022 10:44:00 AM,11/5/2022 1:14:00 PM,270,,United,Chicago O'Hare International,Los Angeles International
15062-2211052121--31694-0-13416-2211052359,105.26,0,11/5/2022 9:21:00 PM,11/5/2022 11:59:00 PM,278,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211051545--31722-0-13416-2211051812,194.64,0,11/5/2022 3:45:00 PM,11/5/2022 6:12:00 PM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2211050925--31722-1-13416-2211051518,450.61,1,11/5/2022 9:25:00 AM,11/5/2022 3:18:00 PM,473,,United,Chicago O'Hare International,Los Angeles International
15062-2211050530--31825-1-13416-2211051413,1114.3600000000001,1,11/5/2022 5:30:00 AM,11/5/2022 2:13:00 PM,643,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211051512--32573-1-13416-2211052021,293.92,1,11/5/2022 3:12:00 PM,11/5/2022 8:21:00 PM,429,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211050655--31722-1-13416-2211051226,147.65,1,11/5/2022 6:55:00 AM,11/5/2022 12:26:00 PM,451,,United,Chicago O'Hare International,Los Angeles International
15062-2211051035--31722-1-13416-2211051501,203.64,1,11/5/2022 10:35:00 AM,11/5/2022 3:01:00 PM,386,,United,Chicago O'Hare International,Los Angeles International
15062-2211050655--32646,-31694-1-13416-2211051226,137.4,1,11/5/2022 6:55:00 AM,11/5/2022 12:26:00 PM,451,,Air New Zealand,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211061300--32080-0-13416-2211061543,319.5,0,11/6/2022 1:00:00 PM,11/6/2022 3:43:00 PM,283,,Malaysia Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061550--31722-1-13416-2211062049,457.6,1,11/6/2022 3:50:00 PM,11/6/2022 8:49:00 PM,419,,United,Chicago O'Hare International,Los Angeles International
15062-2211061035--31722-1-13416-2211061501,457.6,1,11/6/2022 10:35:00 AM,11/6/2022 3:01:00 PM,386,,United,Chicago O'Hare International,Los Angeles International
15062-2211060830--32573-1-13416-2211061420,446.22,1,11/6/2022 8:30:00 AM,11/6/2022 2:20:00 PM,470,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060730--31722-1-13416-2211061725,341.21,1,11/6/2022 7:30:00 AM,11/6/2022 5:25:00 PM,715,,United,Chicago O'Hare International,Los Angeles International
15062-2211060952--32626-0-13416-2211061231,272.1,0,11/6/2022 9:52:00 AM,11/6/2022 12:31:00 PM,279,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2211061750--31799,-32571-1-13416-2211062155,484.91,1,11/6/2022 5:50:00 PM,11/6/2022 9:55:00 PM,365,,SWISS,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211061359--31722-1-13416-2211062246,476.61,1,11/6/2022 1:59:00 PM,11/6/2022 10:46:00 PM,647,,United,Chicago O'Hare International,Los Angeles International
15062-2211061540--32171-1-13416-2211070019,3528.2400000000002,1,11/6/2022 3:40:00 PM,11/7/2022 12:19:00 AM,639,,jetBlue,Chicago O'Hare International,Los Angeles International
15062-2211061125--31722-2-13416-2211061725,687.1,2,11/6/2022 11:25:00 AM,11/6/2022 5:25:00 PM,480,,United,Chicago O'Hare International,Los Angeles International
15062-2211060819--31940-0-13416-2211061049,283.76,0,11/6/2022 8:19:00 AM,11/6/2022 10:49:00 AM,270,,Qantas,Chicago O'Hare International,Los Angeles International
15062-2211060640--32184-0-13416-2211060906,197.71,0,11/6/2022 6:40:00 AM,11/6/2022 9:06:00 AM,266,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061250--31722-1-13416-2211061725,476.61,1,11/6/2022 12:50:00 PM,11/6/2022 5:25:00 PM,395,,United,Chicago O'Hare International,Los Angeles International
15062-2211060905--31722-0-13416-2211061132,194.6,0,11/6/2022 9:05:00 AM,11/6/2022 11:32:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2211061515--32480-0-13416-2211061742,753.29,0,11/6/2022 3:15:00 PM,11/6/2022 5:42:00 PM,267,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2211061945--31923-0-13416-2211062219,420.5,0,11/6/2022 7:45:00 PM,11/6/2022 10:19:00 PM,274,,Royal Jordanian,Chicago O'Hare International,Los Angeles International
15062-2211061820--31722-1-13416-2211070009,576.6,1,11/6/2022 6:20:00 PM,11/7/2022 12:09:00 AM,469,,United,Chicago O'Hare International,Los Angeles International
15062-2211060600--32128,-31697-1-13416-2211061338,373.1,1,11/6/2022 6:00:00 AM,11/6/2022 1:38:00 PM,578,,Korean Air,Virgin Atlantic,Chicago O'Hare International,Los Angeles International
15062-2211062107--31722-1-13416-2211071132,311.2,1,11/6/2022 9:07:00 PM,11/7/2022 11:32:00 AM,985,,United,Chicago O'Hare International,Los Angeles International
15062-2211060700--32593-2-13416-2211061613,2655.55,2,11/6/2022 7:00:00 AM,11/6/2022 4:13:00 PM,673,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060955--32184,-32480-1-13416-2211061537,444.65,1,11/6/2022 9:55:00 AM,11/6/2022 3:37:00 PM,462,,Japan Airlines,British Airways,Chicago O'Hare International,Los Angeles International
15062-2211061550--31722-1-13416-2211062155,426.6,1,11/6/2022 3:50:00 PM,11/6/2022 9:55:00 PM,485,,United,Chicago O'Hare International,Los Angeles International
15062-2211061250--31722,-32593-2-13416-2211062028,815.97,2,11/6/2022 12:50:00 PM,11/6/2022 8:28:00 PM,578,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061545--32573-1-13416-2211061944,490.63,1,11/6/2022 3:45:00 PM,11/6/2022 7:44:00 PM,359,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061440--31722-1-13416-2211062155,476.61,1,11/6/2022 2:40:00 PM,11/6/2022 9:55:00 PM,555,,United,Chicago O'Hare International,Los Angeles International
15062-2211060715--31722-1-13416-2211062359,217.21,1,11/6/2022 7:15:00 AM,11/6/2022 11:59:00 PM,1124,,United,Chicago O'Hare International,Los Angeles International
15062-2211060745--31722-1-13416-2211061618,426.6,1,11/6/2022 7:45:00 AM,11/6/2022 4:18:00 PM,633,,United,Chicago O'Hare International,Los Angeles International
15062-2211060715--31722-1-13416-2211061147,236.6,1,11/6/2022 7:15:00 AM,11/6/2022 11:47:00 AM,392,,United,Chicago O'Hare International,Los Angeles International
15062-2211061300--32573-0-13416-2211061543,333.97,0,11/6/2022 1:00:00 PM,11/6/2022 3:43:00 PM,283,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060817--32573-1-13416-2211061252,446.22,1,11/6/2022 8:17:00 AM,11/6/2022 12:52:00 PM,395,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060500--32573-1-13416-2211061020,343.12,1,11/6/2022 5:00:00 AM,11/6/2022 10:20:00 AM,440,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060912--31722,-32593-1-13416-2211061850,1279.8400000000001,1,11/6/2022 9:12:00 AM,11/6/2022 6:50:00 PM,698,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060545--31722,-32593-2-13416-2211061354,782.59,2,11/6/2022 5:45:00 AM,11/6/2022 1:54:00 PM,609,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061358--32573-1-13416-2211061910,600.99,1,11/6/2022 1:58:00 PM,11/6/2022 7:10:00 PM,432,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061556--31722-1-13416-2211062338,476.61,1,11/6/2022 3:56:00 PM,11/6/2022 11:38:00 PM,582,,United,Chicago O'Hare International,Los Angeles International
15062-2211060956--31722,-32593-1-13416-2211061547,2419.34,1,11/6/2022 9:56:00 AM,11/6/2022 3:47:00 PM,471,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061425--32593-1-13416-2211062240,2960.44,1,11/6/2022 2:25:00 PM,11/6/2022 10:40:00 PM,615,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061808--32695-0-13416-2211062044,555,0,11/6/2022 6:08:00 PM,11/6/2022 8:44:00 PM,276,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211061935--31722-1-13416-2211062359,426.6,1,11/6/2022 7:35:00 PM,11/6/2022 11:59:00 PM,384,,United,Chicago O'Hare International,Los Angeles International
15062-2211061945--32480-0-13416-2211062219,435.5,0,11/6/2022 7:45:00 PM,11/6/2022 10:19:00 PM,274,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2211060500--32753,-31939-1-13416-2211061118,325.2,1,11/6/2022 5:00:00 AM,11/6/2022 11:18:00 AM,498,,Aer Lingus,Qatar Airways,Chicago O'Hare International,Los Angeles International
15062-2211060847--31722-1-13416-2211061409,518.59,1,11/6/2022 8:47:00 AM,11/6/2022 2:09:00 PM,442,,United,Chicago O'Hare International,Los Angeles International
15062-2211061315--32593-1-13416-2211061850,5882.11,1,11/6/2022 1:15:00 PM,11/6/2022 6:50:00 PM,455,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060700--32480,-32184-1-13416-2211061143,292.91,1,11/6/2022 7:00:00 AM,11/6/2022 11:43:00 AM,403,,British Airways,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061750--31722-1-13416-2211062155,476.61,1,11/6/2022 5:50:00 PM,11/6/2022 9:55:00 PM,365,,United,Chicago O'Hare International,Los Angeles International
15062-2211060921--31722,-32593-2-13416-2211061755,1258.6399999999999,2,11/6/2022 9:21:00 AM,11/6/2022 5:55:00 PM,634,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061422--32695-0-13416-2211061655,347.93,0,11/6/2022 2:22:00 PM,11/6/2022 4:55:00 PM,273,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211060956--32571,-32646-1-13416-2211061532,513.56,1,11/6/2022 9:56:00 AM,11/6/2022 3:32:00 PM,456,,ANA (All Nippon Airways),Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211061324--31722,-32593-1-13416-2211061834,1806.9699999999998,1,11/6/2022 1:24:00 PM,11/6/2022 6:34:00 PM,430,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061845--32573-1-13416-2211062352,802.51,1,11/6/2022 6:45:00 PM,11/6/2022 11:52:00 PM,427,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060540--32385-1-13416-2211061145,498.6,1,11/6/2022 5:40:00 AM,11/6/2022 11:45:00 AM,485,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211061209--31825-1-13416-2211061936,2923.96,1,11/6/2022 12:09:00 PM,11/6/2022 7:36:00 PM,567,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060901--31722,-32593-1-13416-2211061632,1767.8199999999997,1,11/6/2022 9:01:00 AM,11/6/2022 4:32:00 PM,571,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061250--31722,-32593-1-13416-2211062110,1767.8199999999997,1,11/6/2022 12:50:00 PM,11/6/2022 9:10:00 PM,620,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060700--32573-1-13416-2211061143,293.91,1,11/6/2022 7:00:00 AM,11/6/2022 11:43:00 AM,403,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060745--31722-1-13416-2211061409,476.61,1,11/6/2022 7:45:00 AM,11/6/2022 2:09:00 PM,504,,United,Chicago O'Hare International,Los Angeles International
15062-2211060954--32385-1-13416-2211061749,498.6,1,11/6/2022 9:54:00 AM,11/6/2022 5:49:00 PM,595,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211061551--32385-1-13416-2211062054,758.6,1,11/6/2022 3:51:00 PM,11/6/2022 8:54:00 PM,423,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211060846--31722-1-13416-2211071154,347.2,1,11/6/2022 8:46:00 AM,11/7/2022 11:54:00 AM,1748,,United,Chicago O'Hare International,Los Angeles International
15062-2211061415--31722-1-13416-2211062150,781.59,1,11/6/2022 2:15:00 PM,11/6/2022 9:50:00 PM,575,,United,Chicago O'Hare International,Los Angeles International
15062-2211061324--32695,-32646-1-13416-2211061746,550.56,1,11/6/2022 1:24:00 PM,11/6/2022 5:46:00 PM,382,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060710--31722-1-13416-2211071154,317.19,1,11/6/2022 7:10:00 AM,11/7/2022 11:54:00 AM,1844,,United,Chicago O'Hare International,Los Angeles International
15062-2211061413--31722,-32695-1-13416-2211062137,1304.37,1,11/6/2022 2:13:00 PM,11/6/2022 9:37:00 PM,564,,United,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211060928--31722,-32593-1-13416-2211061354,1806.9699999999998,1,11/6/2022 9:28:00 AM,11/6/2022 1:54:00 PM,386,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061415--31722,-32593-1-13416-2211062344,652.26,1,11/6/2022 2:15:00 PM,11/6/2022 11:44:00 PM,689,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061808--32093-0-13416-2211062044,577.16,0,11/6/2022 6:08:00 PM,11/6/2022 8:44:00 PM,276,,LOT,Chicago O'Hare International,Los Angeles International
15062-2211060750--32571-0-13416-2211061010,197.55,0,11/6/2022 7:50:00 AM,11/6/2022 10:10:00 AM,260,,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211060720--32695,-32646-1-13416-2211061151,509.89,1,11/6/2022 7:20:00 AM,11/6/2022 11:51:00 AM,391,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060601--31722-1-13416-2211061348,901.61,1,11/6/2022 6:01:00 AM,11/6/2022 1:48:00 PM,587,,United,Chicago O'Hare International,Los Angeles International
15062-2211062121--31694-0-13416-2211062359,269.39,0,11/6/2022 9:21:00 PM,11/6/2022 11:59:00 PM,278,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211061300--32573-1-13416-2211061715,490.63,1,11/6/2022 1:00:00 PM,11/6/2022 5:15:00 PM,375,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060700--32593-1-13416-2211061348,3183.26,1,11/6/2022 7:00:00 AM,11/6/2022 1:48:00 PM,528,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061246--32695-0-13416-2211061519,302.61,0,11/6/2022 12:46:00 PM,11/6/2022 3:19:00 PM,273,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211061105--31825-1-13416-2211061718,3998.8699999999994,1,11/6/2022 11:05:00 AM,11/6/2022 5:18:00 PM,493,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061716--32573-1-13416-2211062132,490.63,1,11/6/2022 5:16:00 PM,11/6/2022 9:32:00 PM,376,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060902--31722,-32593-2-13416-2211061843,1019.85,2,11/6/2022 9:02:00 AM,11/6/2022 6:43:00 PM,701,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061305--31722-1-13416-2211062001,576.6,1,11/6/2022 1:05:00 PM,11/6/2022 8:01:00 PM,536,,United,Chicago O'Hare International,Los Angeles International
15062-2211061036--31722,-32593-1-13416-2211061613,691.53,1,11/6/2022 10:36:00 AM,11/6/2022 4:13:00 PM,457,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060730--32385-1-13416-2211061228,437.6,1,11/6/2022 7:30:00 AM,11/6/2022 12:28:00 PM,418,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211061315--32593-2-13416-2211070025,1715.01,2,11/6/2022 1:15:00 PM,11/7/2022 12:25:00 AM,790,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060530--31825-1-13416-2211061413,2494.6,1,11/6/2022 5:30:00 AM,11/6/2022 2:13:00 PM,643,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060928--31722-1-13416-2211061746,581.2,1,11/6/2022 9:28:00 AM,11/6/2022 5:46:00 PM,618,,United,Chicago O'Hare International,Los Angeles International
15062-2211061320--32573-1-13416-2211061820,648.97,1,11/6/2022 1:20:00 PM,11/6/2022 6:20:00 PM,420,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061422--31694-0-13416-2211061655,333.4,0,11/6/2022 2:22:00 PM,11/6/2022 4:55:00 PM,273,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211060847--32540,-32646-1-13416-2211061409,526.66,1,11/6/2022 8:47:00 AM,11/6/2022 2:09:00 PM,442,,Avianca,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211061545--32090-0-13416-2211061812,551.67,0,11/6/2022 3:45:00 PM,11/6/2022 6:12:00 PM,267,,Lufthansa,Chicago O'Hare International,Los Angeles International
15062-2211060921--31722,-32593-2-13416-2211062035,1216.24,2,11/6/2022 9:21:00 AM,11/6/2022 8:35:00 PM,794,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211062145--31825-1-13416-2211070701,1077.1,1,11/6/2022 9:45:00 PM,11/7/2022 7:01:00 AM,676,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060715--32695,-32540-1-13416-2211061148,438.27,1,11/6/2022 7:15:00 AM,11/6/2022 11:48:00 AM,393,,Air Canada,Avianca,Chicago O'Hare International,Los Angeles International
15062-2211061550--31722-1-13416-2211062359,373.2,1,11/6/2022 3:50:00 PM,11/6/2022 11:59:00 PM,609,,United,Chicago O'Hare International,Los Angeles International
15062-2211061425--32593-1-13416-2211062110,6321.21,1,11/6/2022 2:25:00 PM,11/6/2022 9:10:00 PM,525,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061430--32385-1-13416-2211062132,1348.6,1,11/6/2022 2:30:00 PM,11/6/2022 9:32:00 PM,542,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211061225--31825-1-13416-2211062238,3557.02,1,11/6/2022 12:25:00 PM,11/6/2022 10:38:00 PM,733,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061402--31722-1-13416-2211062246,576.6,1,11/6/2022 2:02:00 PM,11/6/2022 10:46:00 PM,644,,United,Chicago O'Hare International,Los Angeles International
15062-2211060955--32573-1-13416-2211061537,446.22,1,11/6/2022 9:55:00 AM,11/6/2022 3:37:00 PM,462,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061545--31722-0-13416-2211061812,277.6,0,11/6/2022 3:45:00 PM,11/6/2022 6:12:00 PM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2211060715--31722,-32593-2-13416-2211061525,612.9,2,11/6/2022 7:15:00 AM,11/6/2022 3:25:00 PM,610,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061305--32573-1-13416-2211061810,680.11,1,11/6/2022 1:05:00 PM,11/6/2022 6:10:00 PM,425,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060545--32171-1-13416-2211061304,1894.46,1,11/6/2022 5:45:00 AM,11/6/2022 1:04:00 PM,559,,jetBlue,Chicago O'Hare International,Los Angeles International
15062-2211061405--31722-1-13416-2211062338,351.19,1,11/6/2022 2:05:00 PM,11/6/2022 11:38:00 PM,693,,United,Chicago O'Hare International,Los Angeles International
15062-2211060805--32573-1-13416-2211061311,343.12,1,11/6/2022 8:05:00 AM,11/6/2022 1:11:00 PM,426,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060655--31722-1-13416-2211061226,541.6,1,11/6/2022 6:55:00 AM,11/6/2022 12:26:00 PM,451,,United,Chicago O'Hare International,Los Angeles International
15062-2211061036--31722-1-13416-2211061743,691.61,1,11/6/2022 10:36:00 AM,11/6/2022 5:43:00 PM,547,,United,Chicago O'Hare International,Los Angeles International
15062-2211061050--31722,-32593-1-13416-2211062021,1497.8,1,11/6/2022 10:50:00 AM,11/6/2022 8:21:00 PM,691,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060600--32385-1-13416-2211061338,368.6,1,11/6/2022 6:00:00 AM,11/6/2022 1:38:00 PM,578,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211062159--31825-0-13416-2211070039,1652.42,0,11/6/2022 9:59:00 PM,11/7/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060710--32385-1-13416-2211061455,498.6,1,11/6/2022 7:10:00 AM,11/6/2022 2:55:00 PM,585,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211061315--32573-1-13416-2211061846,490.63,1,11/6/2022 1:15:00 PM,11/6/2022 6:46:00 PM,451,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061945--31799,-32646-1-13416-2211070907,319.78,1,11/6/2022 7:45:00 PM,11/7/2022 9:07:00 AM,922,,SWISS,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060925--31722-1-13416-2211061518,490.6,1,11/6/2022 9:25:00 AM,11/6/2022 3:18:00 PM,473,,United,Chicago O'Hare International,Los Angeles International
15062-2211061512--32573-1-13416-2211062021,648.97,1,11/6/2022 3:12:00 PM,11/6/2022 8:21:00 PM,429,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061705--32573-0-13416-2211061933,481.48,0,11/6/2022 5:05:00 PM,11/6/2022 7:33:00 PM,268,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061602--31722,-32593-1-13416-2211070025,1533.58,1,11/6/2022 4:02:00 PM,11/7/2022 12:25:00 AM,623,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061250--31722,-32593-2-13416-2211062035,728.28,2,11/6/2022 12:50:00 PM,11/6/2022 8:35:00 PM,585,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061440--31722-1-13416-2211061911,511.61,1,11/6/2022 2:40:00 PM,11/6/2022 7:11:00 PM,391,,United,Chicago O'Hare International,Los Angeles International
15062-2211060952--32573-0-13416-2211061231,284.76,0,11/6/2022 9:52:00 AM,11/6/2022 12:31:00 PM,279,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060600--31722-1-13416-2211061535,286.6,1,11/6/2022 6:00:00 AM,11/6/2022 3:35:00 PM,695,,United,Chicago O'Hare International,Los Angeles International
15062-2211061200--31722-1-13416-2211062013,661.6,1,11/6/2022 12:00:00 PM,11/6/2022 8:13:00 PM,613,,United,Chicago O'Hare International,Los Angeles International
15062-2211062121--31722-0-13416-2211062359,277.6,0,11/6/2022 9:21:00 PM,11/6/2022 11:59:00 PM,278,,United,Chicago O'Hare International,Los Angeles International
15062-2211061440--32695,-32646-1-13416-2211062359,434.4,1,11/6/2022 2:40:00 PM,11/6/2022 11:59:00 PM,679,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060640--32753-0-13416-2211060906,188.1,0,11/6/2022 6:40:00 AM,11/6/2022 9:06:00 AM,266,,Aer Lingus,Chicago O'Hare International,Los Angeles International
15062-2211061750--32593-1-13416-2211062357,6119.160000000001,1,11/6/2022 5:50:00 PM,11/6/2022 11:57:00 PM,487,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061035--32646-0-13416-2211061309,219.5,0,11/6/2022 10:35:00 AM,11/6/2022 1:09:00 PM,274,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060822--31825-0-13416-2211061055,1215.59,0,11/6/2022 8:22:00 AM,11/6/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060819--32184-0-13416-2211061049,272.1,0,11/6/2022 8:19:00 AM,11/6/2022 10:49:00 AM,270,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060745--31722,-32593-2-13416-2211061547,615.93,2,11/6/2022 7:45:00 AM,11/6/2022 3:47:00 PM,602,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211062014--32480,-32593-1-13416-2211070807,400.21,1,11/6/2022 8:14:00 PM,11/7/2022 8:07:00 AM,833,,British Airways,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060846--32695,-32571-1-13416-2211061725,491.72,1,11/6/2022 8:46:00 AM,11/6/2022 5:25:00 PM,639,,Air Canada,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211061957--32646-0-13416-2211062233,455.1,0,11/6/2022 7:57:00 PM,11/6/2022 10:33:00 PM,276,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211060850--32695,-32646-1-13416-2211061725,470.27,1,11/6/2022 8:50:00 AM,11/6/2022 5:25:00 PM,635,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211061426--31722,-32593-1-13416-2211062028,647.64,1,11/6/2022 2:26:00 PM,11/6/2022 8:28:00 PM,482,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061049--31722-1-13416-2211061852,576.6,1,11/6/2022 10:49:00 AM,11/6/2022 6:52:00 PM,603,,United,Chicago O'Hare International,Los Angeles International
15062-2211060700--32593-2-13416-2211061755,1172.71,2,11/6/2022 7:00:00 AM,11/6/2022 5:55:00 PM,775,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211060545--31722-1-13416-2211062338,351.19,1,11/6/2022 5:45:00 AM,11/6/2022 11:38:00 PM,1193,,United,Chicago O'Hare International,Los Angeles International
15062-2211061413--32385-1-13416-2211062033,758.6,1,11/6/2022 2:13:00 PM,11/6/2022 8:33:00 PM,500,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211060848--32171-1-13416-2211070019,1216.47,1,11/6/2022 8:48:00 AM,11/7/2022 12:19:00 AM,1051,,jetBlue,Chicago O'Hare International,Los Angeles International
15062-2211061400--31940-0-13416-2211061639,603.26,0,11/6/2022 2:00:00 PM,11/6/2022 4:39:00 PM,279,,Qantas,Chicago O'Hare International,Los Angeles International
15062-2211062106--31722-1-13416-2211071113,328.2,1,11/6/2022 9:06:00 PM,11/7/2022 11:13:00 AM,967,,United,Chicago O'Hare International,Los Angeles International
15062-2211060846--31722-1-13416-2211061725,484.19,1,11/6/2022 8:46:00 AM,11/6/2022 5:25:00 PM,639,,United,Chicago O'Hare International,Los Angeles International
15062-2211061330--32573-1-13416-2211061944,446.22,1,11/6/2022 1:30:00 PM,11/6/2022 7:44:00 PM,494,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211061203--32573-1-13416-2211061719,572.2,1,11/6/2022 12:03:00 PM,11/6/2022 5:19:00 PM,436,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211062121--32090-0-13416-2211062359,282.28,0,11/6/2022 9:21:00 PM,11/6/2022 11:59:00 PM,278,,Lufthansa,Chicago O'Hare International,Los Angeles International
15062-2211061035--31722-0-13416-2211061309,227.6,0,11/6/2022 10:35:00 AM,11/6/2022 1:09:00 PM,274,,United,Chicago O'Hare International,Los Angeles International
