Flight Bucket,FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
Direct,10968-2211060715--32695-0-15062-2211060939,$148,0,11/6/2022 7:15:00 AM,11/6/2022 9:39:00 AM,144,Air Canada;,Dallas,Chicago
Direct,10968-2211060715--31722-0-15062-2211060939,$149,0,11/6/2022 7:15:00 AM,11/6/2022 9:39:00 AM,144,United;,Dallas,Chicago
Best,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Best,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Best,15062-2211052008--31734-0-14355-2211052241,$105,0,11/5/2022 8:08:00 PM,11/5/2022 10:41:00 PM,153,Turkish Airlines;,Chicago,New Orleans
Fastest,15062-2211051934--32573-0-14355-2211052157,$130,0,11/5/2022 7:34:00 PM,11/5/2022 9:57:00 PM,143,American Airlines;,Chicago,New Orleans
Fastest,15062-2211051934--32480-0-14355-2211052157,$130,0,11/5/2022 7:34:00 PM,11/5/2022 9:57:00 PM,143,British Airways;,Chicago,New Orleans
Fastest,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051225--31825-1-14355-2211052145,$39,1,11/5/2022 12:25:00 PM,11/5/2022 9:45:00 PM,560,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211052008--31734-0-14355-2211052241,$105,0,11/5/2022 8:08:00 PM,11/5/2022 10:41:00 PM,153,Turkish Airlines;,Chicago,New Orleans
Best,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Best,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
Best,15062-2211051826--32571-0-14074-2211052235,$114,0,11/5/2022 6:26:00 PM,11/5/2022 10:35:00 PM,189,ANA (All Nippon Airways);,Chicago,Miami
Fastest,15062-2211051700--32573-0-14074-2211052105,$157,0,11/5/2022 5:00:00 PM,11/5/2022 9:05:00 PM,185,American Airlines;,Chicago,Miami
Fastest,15062-2211051700--32480-0-14074-2211052105,$157,0,11/5/2022 5:00:00 PM,11/5/2022 9:05:00 PM,185,British Airways;,Chicago,Miami
Fastest,15062-2211052030--32573-0-14074-2211060036,$133,0,11/5/2022 8:30:00 PM,11/6/2022 12:36:00 AM,186,American Airlines;,Chicago,Miami
Cheapest,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Cheapest,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
Cheapest,15062-2211051826--32571-0-14074-2211052235,$114,0,11/5/2022 6:26:00 PM,11/5/2022 10:35:00 PM,189,ANA (All Nippon Airways);,Chicago,Miami
Direct,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Direct,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
Direct,15062-2211051826--32571-0-14074-2211052235,$114,0,11/5/2022 6:26:00 PM,11/5/2022 10:35:00 PM,189,ANA (All Nippon Airways);,Chicago,Miami
Best,12387-2211060635--32695-0-15062-2211060741,$128,0,11/6/2022 6:35:00 AM,11/6/2022 7:41:00 AM,126,Air Canada;,Washington,Chicago
Best,12387-2211062225--32695-0-15062-2211062332,$128,0,11/6/2022 10:25:00 PM,11/6/2022 11:32:00 PM,127,Air Canada;,Washington,Chicago
Best,12387-2211060635--31722-0-15062-2211060741,$129,0,11/6/2022 6:35:00 AM,11/6/2022 7:41:00 AM,126,United;,Washington,Chicago
Fastest,12387-2211061230--32695-0-15062-2211061332,$178,0,11/6/2022 12:30:00 PM,11/6/2022 1:32:00 PM,122,Air Canada;,Washington,Chicago
Fastest,12387-2211061230--31722-0-15062-2211061332,$179,0,11/6/2022 12:30:00 PM,11/6/2022 1:32:00 PM,122,United;,Washington,Chicago
Fastest,12387-2211061230--32646-0-15062-2211061332,$199,0,11/6/2022 12:30:00 PM,11/6/2022 1:32:00 PM,122,Air New Zealand;,Washington,Chicago
Cheapest,12387-2211060635--32695-0-15062-2211060741,$128,0,11/6/2022 6:35:00 AM,11/6/2022 7:41:00 AM,126,Air Canada;,Washington,Chicago
Cheapest,12387-2211062225--32695-0-15062-2211062332,$128,0,11/6/2022 10:25:00 PM,11/6/2022 11:32:00 PM,127,Air Canada;,Washington,Chicago
Cheapest,12387-2211060821--32571-0-15062-2211060933,$128,0,11/6/2022 8:21:00 AM,11/6/2022 9:33:00 AM,132,ANA (All Nippon Airways);,Washington,Chicago
Direct,12387-2211060635--32695-0-15062-2211060741,$128,0,11/6/2022 6:35:00 AM,11/6/2022 7:41:00 AM,126,Air Canada;,Washington,Chicago
Direct,12387-2211062225--32695-0-15062-2211062332,$128,0,11/6/2022 10:25:00 PM,11/6/2022 11:32:00 PM,127,Air Canada;,Washington,Chicago
Direct,12387-2211060635--31722-0-15062-2211060741,$129,0,11/6/2022 6:35:00 AM,11/6/2022 7:41:00 AM,126,United;,Washington,Chicago
Best,15062-2211050545--31825-0-13411-2211050743,$53,0,11/5/2022 5:45:00 AM,11/5/2022 7:43:00 AM,238,Spirit Airlines;,Chicago,Las Vegas
Best,15062-2211051209--31825-0-13411-2211051410,$53,0,11/5/2022 12:09:00 PM,11/5/2022 2:10:00 PM,241,Spirit Airlines;,Chicago,Las Vegas
Best,15062-2211051615--31825-0-13411-2211051817,$53,0,11/5/2022 4:15:00 PM,11/5/2022 6:17:00 PM,242,Spirit Airlines;,Chicago,Las Vegas
Fastest,15062-2211051235--31829-0-13411-2211051430,$308,0,11/5/2022 12:35:00 PM,11/5/2022 2:30:00 PM,235,Southwest Airlines;,Chicago,Las Vegas
Fastest,15062-2211050645--31829-0-13411-2211050840,$109,0,11/5/2022 6:45:00 AM,11/5/2022 8:40:00 AM,235,Southwest Airlines;,Chicago,Las Vegas
Fastest,15062-2211051555--31829-0-13411-2211051750,$308,0,11/5/2022 3:55:00 PM,11/5/2022 5:50:00 PM,235,Southwest Airlines;,Chicago,Las Vegas
Cheapest,15062-2211051209--31825-0-13411-2211051410,$53,0,11/5/2022 12:09:00 PM,11/5/2022 2:10:00 PM,241,Spirit Airlines;,Chicago,Las Vegas
Cheapest,15062-2211052145--31825-0-13411-2211052350,$53,0,11/5/2022 9:45:00 PM,11/5/2022 11:50:00 PM,245,Spirit Airlines;,Chicago,Las Vegas
Cheapest,15062-2211051615--31825-0-13411-2211051817,$53,0,11/5/2022 4:15:00 PM,11/5/2022 6:17:00 PM,242,Spirit Airlines;,Chicago,Las Vegas
Direct,15062-2211050545--31825-0-13411-2211050743,$53,0,11/5/2022 5:45:00 AM,11/5/2022 7:43:00 AM,238,Spirit Airlines;,Chicago,Las Vegas
Direct,15062-2211051209--31825-0-13411-2211051410,$53,0,11/5/2022 12:09:00 PM,11/5/2022 2:10:00 PM,241,Spirit Airlines;,Chicago,Las Vegas
Direct,15062-2211051615--31825-0-13411-2211051817,$53,0,11/5/2022 4:15:00 PM,11/5/2022 6:17:00 PM,242,Spirit Airlines;,Chicago,Las Vegas
Best,15062-2211051705--32593-0-16177-2211051951,$70,0,11/5/2022 5:05:00 PM,11/5/2022 7:51:00 PM,286,Alaska Airlines;,Chicago,Seattle
Best,15062-2211050600--32385-0-16177-2211050836,$89,0,11/5/2022 6:00:00 AM,11/5/2022 8:36:00 AM,276,Delta;,Chicago,Seattle
Best,15062-2211051425--32593-0-16177-2211051711,$108,0,11/5/2022 2:25:00 PM,11/5/2022 5:11:00 PM,286,Alaska Airlines;,Chicago,Seattle
Fastest,15062-2211050600--32385-0-16177-2211050836,$89,0,11/5/2022 6:00:00 AM,11/5/2022 8:36:00 AM,276,Delta;,Chicago,Seattle
Fastest,15062-2211051413--32385-0-16177-2211051651,$118,0,11/5/2022 2:13:00 PM,11/5/2022 4:51:00 PM,278,Delta;,Chicago,Seattle
Fastest,15062-2211050805--32573-0-16177-2211051044,$162,0,11/5/2022 8:05:00 AM,11/5/2022 10:44:00 AM,279,American Airlines;,Chicago,Seattle
Cheapest,15062-2211051705--32593-0-16177-2211051951,$70,0,11/5/2022 5:05:00 PM,11/5/2022 7:51:00 PM,286,Alaska Airlines;,Chicago,Seattle
Cheapest,15062-2211050600--32385-0-16177-2211050836,$89,0,11/5/2022 6:00:00 AM,11/5/2022 8:36:00 AM,276,Delta;,Chicago,Seattle
Cheapest,15062-2211050545--31825-1-16177-2211051107,$93,1,11/5/2022 5:45:00 AM,11/5/2022 11:07:00 AM,442,Spirit Airlines;,Chicago,Seattle
Direct,15062-2211051705--32593-0-16177-2211051951,$70,0,11/5/2022 5:05:00 PM,11/5/2022 7:51:00 PM,286,Alaska Airlines;,Chicago,Seattle
Direct,15062-2211050600--32385-0-16177-2211050836,$89,0,11/5/2022 6:00:00 AM,11/5/2022 8:36:00 AM,276,Delta;,Chicago,Seattle
Direct,15062-2211051425--32593-0-16177-2211051711,$108,0,11/5/2022 2:25:00 PM,11/5/2022 5:11:00 PM,286,Alaska Airlines;,Chicago,Seattle
Best,15062-2211050715--32695-0-10959-2211050859,$75,0,11/5/2022 7:15:00 AM,11/5/2022 8:59:00 AM,164,Air Canada;,Chicago,Denver
Best,15062-2211051605--32695-0-10959-2211051750,$75,0,11/5/2022 4:05:00 PM,11/5/2022 5:50:00 PM,165,Air Canada;,Chicago,Denver
Best,15062-2211051750--32695-0-10959-2211051937,$75,0,11/5/2022 5:50:00 PM,11/5/2022 7:37:00 PM,167,Air Canada;,Chicago,Denver
Fastest,15062-2211050715--32695-0-10959-2211050859,$75,0,11/5/2022 7:15:00 AM,11/5/2022 8:59:00 AM,164,Air Canada;,Chicago,Denver
Fastest,15062-2211050715--31722-0-10959-2211050859,$89,0,11/5/2022 7:15:00 AM,11/5/2022 8:59:00 AM,164,United;,Chicago,Denver
Fastest,15062-2211051605--32478-0-10959-2211051750,$85,0,11/5/2022 4:05:00 PM,11/5/2022 5:50:00 PM,165,Brussels Airlines;,Chicago,Denver
Cheapest,15062-2211050715--32695-0-10959-2211050859,$75,0,11/5/2022 7:15:00 AM,11/5/2022 8:59:00 AM,164,Air Canada;,Chicago,Denver
Cheapest,15062-2211051605--32695-0-10959-2211051750,$75,0,11/5/2022 4:05:00 PM,11/5/2022 5:50:00 PM,165,Air Canada;,Chicago,Denver
Cheapest,15062-2211051750--32695-0-10959-2211051937,$75,0,11/5/2022 5:50:00 PM,11/5/2022 7:37:00 PM,167,Air Canada;,Chicago,Denver
Direct,15062-2211050715--32695-0-10959-2211050859,$75,0,11/5/2022 7:15:00 AM,11/5/2022 8:59:00 AM,164,Air Canada;,Chicago,Denver
Direct,15062-2211051605--32695-0-10959-2211051750,$75,0,11/5/2022 4:05:00 PM,11/5/2022 5:50:00 PM,165,Air Canada;,Chicago,Denver
Direct,15062-2211051750--32695-0-10959-2211051937,$75,0,11/5/2022 5:50:00 PM,11/5/2022 7:37:00 PM,167,Air Canada;,Chicago,Denver
Best,15062-2211050600--32171-0-12712-2211050910,$97,0,11/5/2022 6:00:00 AM,11/5/2022 9:10:00 AM,130,jetBlue;,Chicago,New York
Best,15062-2211050847--32171-0-12712-2211051159,$97,0,11/5/2022 8:47:00 AM,11/5/2022 11:59:00 AM,132,jetBlue;,Chicago,New York
Best,15062-2211051917--32171-0-12712-2211052229,$98,0,11/5/2022 7:17:00 PM,11/5/2022 10:29:00 PM,132,jetBlue;,Chicago,New York
Fastest,15062-2211051121--31939-0-12712-2211051430,$145,0,11/5/2022 11:21:00 AM,11/5/2022 2:30:00 PM,129,Qatar Airways;,Chicago,New York
Fastest,15062-2211051121--32573-0-12712-2211051430,$147,0,11/5/2022 11:21:00 AM,11/5/2022 2:30:00 PM,129,American Airlines;,Chicago,New York
Fastest,15062-2211051121--32171-0-12712-2211051430,$203,0,11/5/2022 11:21:00 AM,11/5/2022 2:30:00 PM,129,jetBlue;,Chicago,New York
Cheapest,15062-2211050847--32171-0-12712-2211051159,$97,0,11/5/2022 8:47:00 AM,11/5/2022 11:59:00 AM,132,jetBlue;,Chicago,New York
Cheapest,15062-2211051543--32171-0-12712-2211051859,$97,0,11/5/2022 3:43:00 PM,11/5/2022 6:59:00 PM,136,jetBlue;,Chicago,New York
Cheapest,15062-2211050600--32171-0-12712-2211050910,$97,0,11/5/2022 6:00:00 AM,11/5/2022 9:10:00 AM,130,jetBlue;,Chicago,New York
Direct,15062-2211050600--32171-0-12712-2211050910,$97,0,11/5/2022 6:00:00 AM,11/5/2022 9:10:00 AM,130,jetBlue;,Chicago,New York
Direct,15062-2211050847--32171-0-12712-2211051159,$97,0,11/5/2022 8:47:00 AM,11/5/2022 11:59:00 AM,132,jetBlue;,Chicago,New York
Direct,15062-2211051917--32171-0-12712-2211052229,$98,0,11/5/2022 7:17:00 PM,11/5/2022 10:29:00 PM,132,jetBlue;,Chicago,New York
Best,15062-2211050854--32695-0-15333-2211051156,$75,0,11/5/2022 8:54:00 AM,11/5/2022 11:56:00 AM,122,Air Canada;,Chicago,Philadelphia
Best,15062-2211051114--32646-0-15333-2211051418,$75,0,11/5/2022 11:14:00 AM,11/5/2022 2:18:00 PM,124,Air New Zealand;,Chicago,Philadelphia
Best,15062-2211051815--32695-0-15333-2211052121,$75,0,11/5/2022 6:15:00 PM,11/5/2022 9:21:00 PM,126,Air Canada;,Chicago,Philadelphia
Fastest,15062-2211051154--32573-0-15333-2211051446,$117,0,11/5/2022 11:54:00 AM,11/5/2022 2:46:00 PM,112,American Airlines;,Chicago,Philadelphia
Fastest,15062-2211051154--32184-0-15333-2211051446,$117,0,11/5/2022 11:54:00 AM,11/5/2022 2:46:00 PM,112,Japan Airlines;,Chicago,Philadelphia
Fastest,15062-2211050650--32573-0-15333-2211050943,$117,0,11/5/2022 6:50:00 AM,11/5/2022 9:43:00 AM,113,American Airlines;,Chicago,Philadelphia
Cheapest,15062-2211051225--31825-1-15333-2211051844,$67,1,11/5/2022 12:25:00 PM,11/5/2022 6:44:00 PM,319,Spirit Airlines;,Chicago,Philadelphia
Cheapest,15062-2211050854--32695-0-15333-2211051156,$75,0,11/5/2022 8:54:00 AM,11/5/2022 11:56:00 AM,122,Air Canada;,Chicago,Philadelphia
Cheapest,15062-2211051815--32695-0-15333-2211052121,$75,0,11/5/2022 6:15:00 PM,11/5/2022 9:21:00 PM,126,Air Canada;,Chicago,Philadelphia
Direct,15062-2211050854--32695-0-15333-2211051156,$75,0,11/5/2022 8:54:00 AM,11/5/2022 11:56:00 AM,122,Air Canada;,Chicago,Philadelphia
Direct,15062-2211051114--32646-0-15333-2211051418,$75,0,11/5/2022 11:14:00 AM,11/5/2022 2:18:00 PM,124,Air New Zealand;,Chicago,Philadelphia
Direct,15062-2211051815--32695-0-15333-2211052121,$75,0,11/5/2022 6:15:00 PM,11/5/2022 9:21:00 PM,126,Air Canada;,Chicago,Philadelphia
Best,15062-2211051900--32171-0-10081-2211052218,$74,0,11/5/2022 7:00:00 PM,11/5/2022 10:18:00 PM,138,jetBlue;,Chicago,Boston
Best,15062-2211050710--32646-0-10081-2211051028,$75,0,11/5/2022 7:10:00 AM,11/5/2022 10:28:00 AM,138,Air New Zealand;,Chicago,Boston
Best,15062-2211051355--32646-0-10081-2211051716,$75,0,11/5/2022 1:55:00 PM,11/5/2022 5:16:00 PM,141,Air New Zealand;,Chicago,Boston
Fastest,15062-2211052100--32171-0-10081-2211060013,$104,0,11/5/2022 9:00:00 PM,11/6/2022 12:13:00 AM,133,jetBlue;,Chicago,Boston
Fastest,15062-2211051716--32171-0-10081-2211052029,$203,0,11/5/2022 5:16:00 PM,11/5/2022 8:29:00 PM,133,jetBlue;,Chicago,Boston
Fastest,15062-2211052100--32573-0-10081-2211060013,$105,0,11/5/2022 9:00:00 PM,11/6/2022 12:13:00 AM,133,American Airlines;,Chicago,Boston
Cheapest,15062-2211051900--32171-0-10081-2211052218,$74,0,11/5/2022 7:00:00 PM,11/5/2022 10:18:00 PM,138,jetBlue;,Chicago,Boston
Cheapest,15062-2211051355--32646-0-10081-2211051716,$75,0,11/5/2022 1:55:00 PM,11/5/2022 5:16:00 PM,141,Air New Zealand;,Chicago,Boston
Cheapest,15062-2211050710--32646-0-10081-2211051028,$75,0,11/5/2022 7:10:00 AM,11/5/2022 10:28:00 AM,138,Air New Zealand;,Chicago,Boston
Direct,15062-2211051900--32171-0-10081-2211052218,$74,0,11/5/2022 7:00:00 PM,11/5/2022 10:18:00 PM,138,jetBlue;,Chicago,Boston
Direct,15062-2211050710--32646-0-10081-2211051028,$75,0,11/5/2022 7:10:00 AM,11/5/2022 10:28:00 AM,138,Air New Zealand;,Chicago,Boston
Direct,15062-2211051355--32646-0-10081-2211051716,$75,0,11/5/2022 1:55:00 PM,11/5/2022 5:16:00 PM,141,Air New Zealand;,Chicago,Boston
Best,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Best,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Best,15062-2211052008--31734-0-14355-2211052241,$105,0,11/5/2022 8:08:00 PM,11/5/2022 10:41:00 PM,153,Turkish Airlines;,Chicago,New Orleans
Fastest,15062-2211051934--32573-0-14355-2211052157,$130,0,11/5/2022 7:34:00 PM,11/5/2022 9:57:00 PM,143,American Airlines;,Chicago,New Orleans
Fastest,15062-2211051934--32480-0-14355-2211052157,$130,0,11/5/2022 7:34:00 PM,11/5/2022 9:57:00 PM,143,British Airways;,Chicago,New Orleans
Fastest,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051225--31825-1-14355-2211052145,$39,1,11/5/2022 12:25:00 PM,11/5/2022 9:45:00 PM,560,Spirit Airlines;,Chicago,New Orleans
Cheapest,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211051620--31825-0-14355-2211051844,$21,0,11/5/2022 4:20:00 PM,11/5/2022 6:44:00 PM,144,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211051105--31825-0-14355-2211051328,$49,0,11/5/2022 11:05:00 AM,11/5/2022 1:28:00 PM,143,Spirit Airlines;,Chicago,New Orleans
Direct,15062-2211052008--31734-0-14355-2211052241,$105,0,11/5/2022 8:08:00 PM,11/5/2022 10:41:00 PM,153,Turkish Airlines;,Chicago,New Orleans
Best,15062-2211052110--32646-0-12387-2211052359,$101,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,Air New Zealand;,Chicago,Washington
Best,15062-2211051816--32646-0-12387-2211052108,$101,0,11/5/2022 6:16:00 PM,11/5/2022 9:08:00 PM,112,Air New Zealand;,Chicago,Washington
Best,15062-2211051402--32695-0-12387-2211051655,$101,0,11/5/2022 2:02:00 PM,11/5/2022 4:55:00 PM,113,Air Canada;,Chicago,Washington
Fastest,15062-2211052110--32695-0-12387-2211052359,$129,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,Air Canada;,Chicago,Washington
Fastest,15062-2211052110--32646-0-12387-2211052359,$101,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,Air New Zealand;,Chicago,Washington
Fastest,15062-2211052110--31722-0-12387-2211052359,$105,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,United;,Chicago,Washington
Cheapest,15062-2211052110--32646-0-12387-2211052359,$101,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,Air New Zealand;,Chicago,Washington
Cheapest,15062-2211051402--32695-0-12387-2211051655,$101,0,11/5/2022 2:02:00 PM,11/5/2022 4:55:00 PM,113,Air Canada;,Chicago,Washington
Cheapest,15062-2211051305--32571-0-12387-2211051558,$101,0,11/5/2022 1:05:00 PM,11/5/2022 3:58:00 PM,113,ANA (All Nippon Airways);,Chicago,Washington
Direct,15062-2211052110--32646-0-12387-2211052359,$101,0,11/5/2022 9:10:00 PM,11/5/2022 11:59:00 PM,109,Air New Zealand;,Chicago,Washington
Direct,15062-2211051816--32646-0-12387-2211052108,$101,0,11/5/2022 6:16:00 PM,11/5/2022 9:08:00 PM,112,Air New Zealand;,Chicago,Washington
Direct,15062-2211051402--32695-0-12387-2211051655,$101,0,11/5/2022 2:02:00 PM,11/5/2022 4:55:00 PM,113,Air Canada;,Chicago,Washington
Best,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Best,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
Best,15062-2211051826--32571-0-14074-2211052235,$114,0,11/5/2022 6:26:00 PM,11/5/2022 10:35:00 PM,189,ANA (All Nippon Airways);,Chicago,Miami
Fastest,15062-2211050715--32573-0-14074-2211051113,$249,0,11/5/2022 7:15:00 AM,11/5/2022 11:13:00 AM,178,American Airlines;,Chicago,Miami
Fastest,15062-2211050715--32593-0-14074-2211051113,$248,0,11/5/2022 7:15:00 AM,11/5/2022 11:13:00 AM,178,Alaska Airlines;,Chicago,Miami
Fastest,15062-2211051209--32573-0-14074-2211051613,$306,0,11/5/2022 12:09:00 PM,11/5/2022 4:13:00 PM,184,American Airlines;,Chicago,Miami
Cheapest,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Cheapest,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
Cheapest,15062-2211050847--32171-1-14074-2211051609,$79,1,11/5/2022 8:47:00 AM,11/5/2022 4:09:00 PM,382,jetBlue;,Chicago,Miami
Direct,15062-2211051453--31825-0-14074-2211051901,$64,0,11/5/2022 2:53:00 PM,11/5/2022 7:01:00 PM,188,Spirit Airlines;,Chicago,Miami
Direct,15062-2211051946--31825-0-14074-2211052355,$64,0,11/5/2022 7:46:00 PM,11/5/2022 11:55:00 PM,189,Spirit Airlines;,Chicago,Miami
