Flight Bucket,FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
Best,15062-2211051930--31825-0-13416-2211052207,$61,0,11/5/2022 7:30:00 PM,11/5/2022 10:07:00 PM,277,Spirit Airlines;,Chicago,Los Angeles
Best,15062-2211052059--31825-0-13416-2211052339,$61,0,11/5/2022 8:59:00 PM,11/5/2022 11:39:00 PM,280,Spirit Airlines;,Chicago,Los Angeles
Best,15062-2211051545--32090-0-13416-2211051812,$105,0,11/5/2022 3:45:00 PM,11/5/2022 6:12:00 PM,267,Lufthansa;,Chicago,Los Angeles
Fastest,15062-2211050640--32573-0-13416-2211050906,$158,0,11/5/2022 6:40:00 AM,11/5/2022 9:06:00 AM,266,American Airlines;,Chicago,Los Angeles
Fastest,15062-2211050640--32184-0-13416-2211050906,$158,0,11/5/2022 6:40:00 AM,11/5/2022 9:06:00 AM,266,Japan Airlines;,Chicago,Los Angeles
Fastest,15062-2211050930--31722-0-13416-2211051157,$195,0,11/5/2022 9:30:00 AM,11/5/2022 11:57:00 AM,267,United;,Chicago,Los Angeles
Cheapest,15062-2211052059--31825-0-13416-2211052339,$61,0,11/5/2022 8:59:00 PM,11/5/2022 11:39:00 PM,280,Spirit Airlines;,Chicago,Los Angeles
Cheapest,15062-2211051930--31825-0-13416-2211052207,$61,0,11/5/2022 7:30:00 PM,11/5/2022 10:07:00 PM,277,Spirit Airlines;,Chicago,Los Angeles
Cheapest,15062-2211050545--31825-1-13416-2211050945,$78,1,11/5/2022 5:45:00 AM,11/5/2022 9:45:00 AM,360,Spirit Airlines;,Chicago,Los Angeles
Direct,15062-2211051930--31825-0-13416-2211052207,$61,0,11/5/2022 7:30:00 PM,11/5/2022 10:07:00 PM,277,Spirit Airlines;,Chicago,Los Angeles
Direct,15062-2211052059--31825-0-13416-2211052339,$61,0,11/5/2022 8:59:00 PM,11/5/2022 11:39:00 PM,280,Spirit Airlines;,Chicago,Los Angeles
Direct,15062-2211051545--32090-0-13416-2211051812,$105,0,11/5/2022 3:45:00 PM,11/5/2022 6:12:00 PM,267,Lufthansa;,Chicago,Los Angeles
Best,10968-2211062215--31825-0-15062-2211070047,$60,0,11/6/2022 10:15:00 PM,11/7/2022 12:47:00 AM,152,Spirit Airlines;,Dallas,Chicago
Best,10968-2211060715--32695-0-15062-2211060939,$148,0,11/6/2022 7:15:00 AM,11/6/2022 9:39:00 AM,144,Air Canada;,Dallas,Chicago
Best,10968-2211060715--31722-0-15062-2211060939,$149,0,11/6/2022 7:15:00 AM,11/6/2022 9:39:00 AM,144,United;,Dallas,Chicago
Fastest,10968-2211061840--32480-0-15062-2211062058,$187,0,11/6/2022 6:40:00 PM,11/6/2022 8:58:00 PM,138,British Airways;,Dallas,Chicago
Fastest,10968-2211061840--31939-0-15062-2211062058,$186,0,11/6/2022 6:40:00 PM,11/6/2022 8:58:00 PM,138,Qatar Airways;,Dallas,Chicago
Fastest,10968-2211061840--32573-0-15062-2211062058,$187,0,11/6/2022 6:40:00 PM,11/6/2022 8:58:00 PM,138,American Airlines;,Dallas,Chicago
Cheapest,10968-2211062215--31825-0-15062-2211070047,$60,0,11/6/2022 10:15:00 PM,11/7/2022 12:47:00 AM,152,Spirit Airlines;,Dallas,Chicago
Cheapest,10968-2211060536--32385-1-15062-2211061119,$89,1,11/6/2022 5:36:00 AM,11/6/2022 11:19:00 AM,343,Delta;,Dallas,Chicago
Cheapest,10968-2211061944--31825-1-15062-2211070750,$108,1,11/6/2022 7:44:00 PM,11/7/2022 7:50:00 AM,726,Spirit Airlines;,Dallas,Chicago
Direct,10968-2211062215--31825-0-15062-2211070047,$60,0,11/6/2022 10:15:00 PM,11/7/2022 12:47:00 AM,152,Spirit Airlines;,Dallas,Chicago
